,Activity date,Activity time,Activity name,Duration type,Duration hit count,Cycle duration (sec),Activity duration (sec),Light logic,Station number,Cycle number,Player number,Player name,Avg reaction time (ms),Total hits,Total miss hits,Total strikes,Repetitions,Lights out,Visual cue #1 (ms),Color #1,Visual cue #2 (ms),Color #2,Visual cue #3 (ms),Color #3,Visual cue #4 (ms),Color #4,Visual cue #5 (ms),Color #5,Visual cue #6 (ms),Color #6,Visual cue #7 (ms),Color #7,Visual cue #8 (ms),Color #8,Visual cue #9 (ms),Color #9,Visual cue #10 (ms),Color #10,Visual cue #11 (ms),Color #11,Visual cue #12 (ms),Color #12,Visual cue #13 (ms),Color #13,Levels,Steps
1,2024-09-21,12:11:21,LA ZONE TEST,once,,,11,Sequence,1,1,1,AOD23,753,13,0,0,1,Hit,247,Red,1594,Red,416,Red,419,Red,943,Red,787,Red,495,Red,887,Red,1192,Red,554,Red,1020,Red,318,Red,922,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-21,12:10:26,LA ZONE TEST,once,,,12,Sequence,1,1,1,AOD23,845,13,0,0,1,Hit,365,Red,1669,Red,544,Red,821,Red,576,Red,1142,Red,715,Red,849,Red,679,Red,1165,Red,1188,Red,653,Red,622,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-21,12:09:54,LA ZONE TEST,once,,,13,Sequence,1,1,1,AOD23,930,13,0,0,1,Hit,305,Red,2044,Red,874,Red,475,Red,486,Red,2101,Red,472,Red,484,Red,1205,Red,471,Red,2050,Red,644,Red,479,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-21,12:09:22,LA ZONE TEST,once,,,14,Sequence,1,1,1,AOD23,1026,13,0,0,1,Hit,463,Red,2212,Red,645,Red,797,Red,446,Red,1563,Red,835,Red,1024,Red,789,Red,754,Red,1304,Red,811,Red,1697,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-21,12:06:22,LA ZONE TEST,once,,,14,Sequence,1,1,1,AOD23,969,13,0,0,1,Hit,449,Red,1582,Red,454,Red,487,Red,338,Red,1050,Red,1038,Red,609,Red,1422,Red,2237,Red,1363,Red,460,Red,1108,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-21,12:05:52,LA ZONE TEST,once,,,15,Sequence,1,1,1,AOD23,1057,13,0,0,1,Hit,422,Red,1707,Red,455,Red,602,Red,347,Red,766,Red,1779,Red,573,Red,764,Red,1194,Red,1909,Red,2184,Red,1047,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-21,12:03:56,LA ZONE TEST,once,,,10,Sequence,1,1,1,AOD23,693,13,0,0,1,Hit,271,Red,1580,Red,517,Red,462,Red,552,Red,709,Red,488,Red,505,Red,1612,Red,471,Red,1045,Red,353,Red,450,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-21,12:00:42,LA ZONE TEST,once,,,11,Sequence,1,1,1,AOD23,741,13,0,0,1,Hit,465,Red,1464,Red,407,Red,613,Red,858,Red,565,Red,503,Red,490,Red,588,Red,1273,Red,1600,Red,352,Red,458,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-21,11:58:00,LA ZONE TEST,once,,,19,Sequence,1,1,1,AOD23,1370,13,0,0,1,Hit,364,Red,1891,Red,357,Red,775,Red,7734,Red,902,Red,1026,Red,585,Red,636,Red,653,Red,1937,Red,389,Red,570,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-09-21,11:57:17,LA ZONE TEST,once,,,14,Sequence,1,1,1,AOD23,1012,13,0,0,1,Hit,1075,Red,2100,Red,597,Red,719,Red,941,Red,748,Red,1170,Red,1081,Red,1478,Red,1054,Red,1147,Red,591,Red,467,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-09-21,11:56:44,LA ZONE TEST,once,,,12,Sequence,1,1,1,AOD23,834,13,0,0,1,Hit,407,Red,2797,Red,380,Red,606,Red,393,Red,746,Red,673,Red,732,Red,626,Red,1115,Red,821,Red,731,Red,826,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-09-21,11:54:56,LA ZONE TEST,once,,,10,Sequence,1,1,1,AOD23,684,13,0,0,1,Hit,298,Red,1569,Red,449,Red,471,Red,474,Red,713,Red,880,Red,467,Red,520,Red,446,Red,1390,Red,477,Red,746,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-09-21,11:54:19,LA ZONE TEST,once,,,12,Sequence,1,1,1,AOD23,864,13,0,0,1,Hit,411,Red,2100,Red,1326,Red,810,Red,767,Red,977,Red,912,Red,740,Red,844,Red,519,Red,1057,Red,343,Red,433,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-09-21,11:53:04,LA ZONE TEST,once,,,16,Sequence,1,1,1,AOD23,1175,13,0,0,1,Hit,1014,Red,2552,Red,915,Red,916,Red,606,Red,1107,Red,921,Red,795,Red,1732,Red,587,Red,1980,Red,1105,Red,1047,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-09-21,11:51:17,LA ZONE TEST,once,,,12,Sequence,1,1,1,AOD23,848,13,0,0,1,Hit,240,Red,1582,Red,588,Red,590,Red,536,Red,895,Red,638,Red,605,Red,678,Red,586,Red,2526,Red,614,Red,947,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-09-21,11:50:33,LA ZONE TEST,once,,,18,Sequence,1,1,1,AOD23,1314,13,0,0,1,Hit,644,Red,2481,Red,1619,Red,1058,Red,830,Red,1080,Red,2264,Red,936,Red,1029,Red,976,Red,2595,Red,800,Red,781,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-09-21,11:49:30,LA ZONE TEST,once,,,15,Sequence,1,1,1,AOD23,1065,13,0,0,1,Hit,301,Red,1949,Red,591,Red,976,Red,970,Red,2161,Red,995,Red,1009,Red,1016,Red,997,Red,1624,Red,601,Red,665,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-09-21,11:49:06,LA ZONE TEST,once,,,15,Sequence,1,1,1,AOD23,1048,13,0,0,1,Hit,524,Red,2113,Red,538,Red,654,Red,442,Red,1236,Red,3464,Red,900,Red,789,Red,539,Red,1260,Red,461,Red,704,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-09-21,11:48:35,LA ZONE TEST,once,,,17,Sequence,1,1,1,AOD23,1218,13,0,0,1,Hit,540,Red,2781,Red,967,Red,1063,Red,694,Red,1031,Red,1704,Red,921,Red,1845,Red,1284,Red,1583,Red,682,Red,742,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-09-21,11:38:35,LA ZONE TEST,once,,,16,Sequence,1,1,1,AOD23,1147,13,0,0,1,Hit,615,Red,2407,Red,834,Red,1223,Red,752,Red,1633,Red,907,Red,784,Red,813,Red,1608,Red,1507,Red,587,Red,1247,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-09-21,11:37:47,LA ZONE TEST,once,,,30,Sequence,1,1,1,AOD23,2217,13,0,0,1,Hit,828,Red,3713,Red,992,Red,825,Red,1811,Red,2300,Red,1604,Red,785,Red,1749,Red,780,Red,2210,Red,9874,Red,1353,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-09-21,11:30:43,LA ZONE TEST,once,,,48,Sequence,1,1,1,AOD23,3600,13,0,0,1,Hit,609,Red,2650,Red,586,Red,820,Red,333,Red,7213,Red,9678,Red,4445,Red,1570,Red,1698,Red,6677,Red,7243,Red,3279,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-09-21,11:30:04,LA ZONE TEST,once,,,26,Sequence,1,1,1,AOD23,1904,13,0,0,1,Hit,488,Red,3094,Red,840,Red,946,Red,780,Red,2030,Red,1015,Red,9805,Red,1441,Red,904,Red,1637,Red,960,Red,822,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-09-21,11:29:35,LA ZONE TEST,once,,,19,Sequence,1,1,1,AOD23,1347,13,0,0,1,Hit,510,Red,3052,Red,1050,Red,1560,Red,3099,Red,1177,Red,1192,Red,940,Red,893,Red,809,Red,1694,Red,690,Red,845,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-09-21,11:19:20,LA ZONE TEST,once,,,28,Sequence,1,1,1,AOD23,2113,13,0,0,1,Hit,5107,Red,5550,Red,815,Red,1106,Red,864,Red,1628,Red,907,Red,2472,Red,1013,Red,894,Red,5382,Red,840,Red,894,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2024-09-21,11:17:24,LA ZONE TEST,once,,,48,Sequence,1,1,1,AOD23,3591,13,0,0,1,Hit,581,Red,2798,Red,507,Red,549,Red,942,Red,1097,Red,491,Red,18473,Red,1916,Red,2826,Red,7527,Red,5653,Red,3332,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2024-09-21,11:16:49,LA ZONE TEST,once,,,15,Sequence,1,1,1,AOD23,1055,13,0,0,1,Hit,621,Red,3066,Red,840,Red,1125,Red,832,Red,923,Red,1222,Red,754,Red,874,Red,696,Red,1443,Red,625,Red,703,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-09-21,11:15:33,LA ZONE TEST,once,,,19,Sequence,1,1,1,AOD23,1421,13,0,0,1,Hit,492,Red,3974,Red,698,Red,809,Red,732,Red,2489,Red,1837,Red,942,Red,1531,Red,806,Red,1714,Red,1657,Red,801,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-09-21,11:14:17,LA ZONE TEST,once,,,37,Sequence,1,1,1,AOD23,2761,13,0,0,1,Hit,485,Red,7717,Red,1743,Red,1410,Red,911,Red,2470,Red,1091,Red,8143,Red,8244,Red,1341,Red,1156,Red,640,Red,544,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-09-21,11:13:15,LA ZONE TEST,once,,,40,Sequence,1,1,1,AOD23,3034,13,0,0,1,Hit,647,Red,2752,Red,648,Red,3031,Red,699,Red,2046,Red,2784,Red,1006,Red,879,Red,19951,Red,2349,Red,1079,Red,1572,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-09-21,11:11:39,LA ZONE TEST,once,,,83,Sequence,1,1,1,AOD23,6345,13,0,0,1,Hit,617,Red,3516,Red,30325,Red,8735,Red,6584,Red,7126,Red,4089,Red,4086,Red,3467,Red,2031,Red,5695,Red,2203,Red,4017,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2024-09-21,11:09:42,LA ZONE TEST,once,,,75,Sequence,1,1,1,AOD23,5703,13,0,0,1,Hit,705,Red,4295,Red,618,Red,32792,Red,1046,Red,13782,Red,1221,Red,3099,Red,1579,Red,1735,Red,7088,Red,1910,Red,4279,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2024-09-21,11:05:51,LA ZONE TEST,once,,,193,Sequence,1,1,1,AOD23,14743,13,0,0,1,Hit,1467,Red,94665,Red,5900,Red,9939,Red,8650,Red,9961,Red,5636,Red,7612,Red,6690,Red,7776,Red,14434,Red,7193,Red,11746,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2024-09-21,11:02:44,LA ZONE TEST,once,,,130,Sequence,1,1,1,AOD23,9946,13,0,0,1,Hit,430,Red,6502,Red,1647,Red,4116,Red,55852,Red,4072,Red,33582,Red,2535,Red,1823,Red,1867,Red,7020,Red,6059,Red,3795,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2024-09-21,11:01:18,LA ZONE TEST,once,,,17,Sequence,1,1,1,AOD23,1238,13,0,0,1,Hit,808,Red,2683,Red,642,Red,869,Red,427,Red,2131,Red,1245,Red,663,Red,601,Red,562,Red,1758,Red,2649,Red,1066,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2024-09-21,11:00:35,LA ZONE TEST,once,,,31,Sequence,1,1,1,AOD23,2282,13,0,0,1,Hit,520,Red,3369,Red,855,Red,1862,Red,676,Red,2352,Red,1100,Red,1468,Red,5310,Red,6741,Red,2920,Red,1850,Red,655,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2024-09-21,10:59:20,LA ZONE TEST,once,,,43,Sequence,1,1,1,AOD23,3197,13,0,0,1,Hit,1265,Red,12771,Red,2500,Red,2264,Red,714,Red,8130,Red,6055,Red,1988,Red,953,Red,784,Red,2190,Red,1129,Red,823,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2024-09-21,10:58:45,LA ZONE TEST,once,,,19,Sequence,1,1,1,AOD23,1392,13,0,0,1,Hit,450,Red,3100,Red,825,Red,1201,Red,3479,Red,2062,Red,939,Red,1357,Red,870,Red,643,Red,1348,Red,711,Red,1113,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-09-21,10:58:06,LA ZONE TEST,once,,,17,Sequence,1,1,1,AOD23,1238,13,0,0,1,Hit,1027,Red,2370,Red,1044,Red,980,Red,1016,Red,1238,Red,1907,Red,951,Red,799,Red,847,Red,1940,Red,1455,Red,520,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2024-09-21,10:57:36,LA ZONE TEST,once,,,13,Sequence,1,1,1,AOD23,930,13,0,0,1,Hit,1125,Red,2439,Red,893,Red,745,Red,569,Red,1183,Red,641,Red,660,Red,1007,Red,450,Red,1176,Red,586,Red,616,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2024-09-21,10:56:49,LA ZONE TEST,once,,,19,Sequence,1,1,1,AOD23,1378,13,0,0,1,Hit,408,Red,3229,Red,708,Red,1088,Red,1083,Red,2189,Red,1319,Red,1110,Red,946,Red,1092,Red,2580,Red,1320,Red,851,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2024-09-21,10:54:50,LA ZONE TEST,once,,,14,Sequence,1,1,1,AOD23,969,13,0,0,1,Hit,474,Red,3893,Red,790,Red,734,Red,625,Red,1004,Red,780,Red,775,Red,606,Red,442,Red,1156,Red,565,Red,762,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2024-09-21,10:54:01,LA ZONE TEST,once,,,26,Sequence,1,1,1,AOD23,1928,13,0,0,1,Hit,2437,Red,3143,Red,757,Red,1008,Red,947,Red,1614,Red,1698,Red,2168,Red,1793,Red,981,Red,1814,Red,5139,Red,1577,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2024-09-21,10:52:01,LA ZONE TEST,once,,,25,Sequence,1,1,1,AOD23,1848,13,0,0,1,Hit,596,Red,2415,Red,1318,Red,9920,Red,872,Red,1290,Red,1353,Red,640,Red,692,Red,998,Red,2183,Red,595,Red,1159,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2024-09-21,10:50:22,LA ZONE TEST,once,,,70,Sequence,1,1,1,AOD23,5277,13,0,0,1,Hit,477,Red,3785,Red,37946,Red,2393,Red,818,Red,2155,Red,1144,Red,1426,Red,783,Red,674,Red,14915,Red,901,Red,1195,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2024-09-21,10:48:13,LA ZONE TEST,once,,,31,Sequence,1,1,1,AOD23,2342,13,0,0,1,Hit,977,Red,893,Red,1395,Red,2344,Red,2066,Red,4101,Red,733,Red,1654,Red,1479,Red,1393,Red,4665,Red,4896,Red,3857,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2024-09-21,10:45:31,LA ZONE TEST,once,,,153,Sequence,1,1,1,AOD23,11652,13,0,0,1,Hit,4914,Red,1583,Red,1720,Red,4638,Red,8393,Red,29766,Red,22278,Red,8790,Red,17523,Red,21198,Red,17989,Red,11773,Red,922,Red,,